id,url,is_valid
8223972,https://phishtank.org/phish_detail.php?phish_id=8223972,VALID PHISH
8223971,https://phishtank.org/phish_detail.php?phish_id=8223971,VALID PHISH
8223970,https://phishtank.org/phish_detail.php?phish_id=8223970,Unknown
8223969,https://phishtank.org/phish_detail.php?phish_id=8223969,Unknown
8223968,https://phishtank.org/phish_detail.php?phish_id=8223968,VALID PHISH
8223967,https://phishtank.org/phish_detail.php?phish_id=8223967,VALID PHISH
8223966,https://phishtank.org/phish_detail.php?phish_id=8223966,Unknown
8223965,https://phishtank.org/phish_detail.php?phish_id=8223965,VALID PHISH
8223964,https://phishtank.org/phish_detail.php?phish_id=8223964,VALID PHISH
8223963,https://phishtank.org/phish_detail.php?phish_id=8223963,VALID PHISH
8223962,https://phishtank.org/phish_detail.php?phish_id=8223962,VALID PHISH
8223961,https://phishtank.org/phish_detail.php?phish_id=8223961,Unknown
8223960,https://phishtank.org/phish_detail.php?phish_id=8223960,Unknown
8223959,https://phishtank.org/phish_detail.php?phish_id=8223959,Unknown
8223958,https://phishtank.org/phish_detail.php?phish_id=8223958,Unknown
8223957,https://phishtank.org/phish_detail.php?phish_id=8223957,Unknown
8223956,https://phishtank.org/phish_detail.php?phish_id=8223956,Unknown
8223955,https://phishtank.org/phish_detail.php?phish_id=8223955,VALID PHISH
8223954,https://phishtank.org/phish_detail.php?phish_id=8223954,VALID PHISH
8223953,https://phishtank.org/phish_detail.php?phish_id=8223953,VALID PHISH
8223952,https://phishtank.org/phish_detail.php?phish_id=8223952,Unknown
8223951,https://phishtank.org/phish_detail.php?phish_id=8223951,Unknown
8223950,https://phishtank.org/phish_detail.php?phish_id=8223950,Unknown
8223949,https://phishtank.org/phish_detail.php?phish_id=8223949,Unknown
8223948,https://phishtank.org/phish_detail.php?phish_id=8223948,VALID PHISH
8223947,https://phishtank.org/phish_detail.php?phish_id=8223947,VALID PHISH
8223946,https://phishtank.org/phish_detail.php?phish_id=8223946,VALID PHISH
8223945,https://phishtank.org/phish_detail.php?phish_id=8223945,VALID PHISH
8223944,https://phishtank.org/phish_detail.php?phish_id=8223944,Unknown
8223943,https://phishtank.org/phish_detail.php?phish_id=8223943,VALID PHISH
8223942,https://phishtank.org/phish_detail.php?phish_id=8223942,VALID PHISH
8223941,https://phishtank.org/phish_detail.php?phish_id=8223941,Unknown
8223940,https://phishtank.org/phish_detail.php?phish_id=8223940,VALID PHISH
8223939,https://phishtank.org/phish_detail.php?phish_id=8223939,Unknown
8223938,https://phishtank.org/phish_detail.php?phish_id=8223938,Unknown
8223937,https://phishtank.org/phish_detail.php?phish_id=8223937,VALID PHISH
8223936,https://phishtank.org/phish_detail.php?phish_id=8223936,VALID PHISH
8223935,https://phishtank.org/phish_detail.php?phish_id=8223935,Unknown
8223934,https://phishtank.org/phish_detail.php?phish_id=8223934,Unknown
8223933,https://phishtank.org/phish_detail.php?phish_id=8223933,VALID PHISH
8223932,https://phishtank.org/phish_detail.php?phish_id=8223932,VALID PHISH
8223931,https://phishtank.org/phish_detail.php?phish_id=8223931,VALID PHISH
8223930,https://phishtank.org/phish_detail.php?phish_id=8223930,VALID PHISH
8223929,https://phishtank.org/phish_detail.php?phish_id=8223929,VALID PHISH
8223928,https://phishtank.org/phish_detail.php?phish_id=8223928,Unknown
8223927,https://phishtank.org/phish_detail.php?phish_id=8223927,Unknown
8223926,https://phishtank.org/phish_detail.php?phish_id=8223926,Unknown
8223925,https://phishtank.org/phish_detail.php?phish_id=8223925,Unknown
8223924,https://phishtank.org/phish_detail.php?phish_id=8223924,Unknown
8223923,https://phishtank.org/phish_detail.php?phish_id=8223923,Unknown
8223922,https://phishtank.org/phish_detail.php?phish_id=8223922,Unknown
8223921,https://phishtank.org/phish_detail.php?phish_id=8223921,Unknown
8223920,https://phishtank.org/phish_detail.php?phish_id=8223920,Unknown
8223919,https://phishtank.org/phish_detail.php?phish_id=8223919,Unknown
8223918,https://phishtank.org/phish_detail.php?phish_id=8223918,Unknown
8223917,https://phishtank.org/phish_detail.php?phish_id=8223917,Unknown
8223916,https://phishtank.org/phish_detail.php?phish_id=8223916,Unknown
8223915,https://phishtank.org/phish_detail.php?phish_id=8223915,Unknown
8223914,https://phishtank.org/phish_detail.php?phish_id=8223914,VALID PHISH
8223913,https://phishtank.org/phish_detail.php?phish_id=8223913,Unknown
8223912,https://phishtank.org/phish_detail.php?phish_id=8223912,VALID PHISH
8223911,https://phishtank.org/phish_detail.php?phish_id=8223911,VALID PHISH
8223910,https://phishtank.org/phish_detail.php?phish_id=8223910,Unknown
8223909,https://phishtank.org/phish_detail.php?phish_id=8223909,VALID PHISH
8223908,https://phishtank.org/phish_detail.php?phish_id=8223908,Unknown
8223907,https://phishtank.org/phish_detail.php?phish_id=8223907,Unknown
8223906,https://phishtank.org/phish_detail.php?phish_id=8223906,Unknown
8223905,https://phishtank.org/phish_detail.php?phish_id=8223905,VALID PHISH
8223904,https://phishtank.org/phish_detail.php?phish_id=8223904,Unknown
8223903,https://phishtank.org/phish_detail.php?phish_id=8223903,VALID PHISH
8223902,https://phishtank.org/phish_detail.php?phish_id=8223902,Unknown
8223901,https://phishtank.org/phish_detail.php?phish_id=8223901,VALID PHISH
8223900,https://phishtank.org/phish_detail.php?phish_id=8223900,Unknown
8223899,https://phishtank.org/phish_detail.php?phish_id=8223899,VALID PHISH
8223898,https://phishtank.org/phish_detail.php?phish_id=8223898,VALID PHISH
8223897,https://phishtank.org/phish_detail.php?phish_id=8223897,VALID PHISH
8223896,https://phishtank.org/phish_detail.php?phish_id=8223896,VALID PHISH
8223895,https://phishtank.org/phish_detail.php?phish_id=8223895,VALID PHISH
8223894,https://phishtank.org/phish_detail.php?phish_id=8223894,VALID PHISH
8223893,https://phishtank.org/phish_detail.php?phish_id=8223893,VALID PHISH
8223892,https://phishtank.org/phish_detail.php?phish_id=8223892,Unknown
8223891,https://phishtank.org/phish_detail.php?phish_id=8223891,VALID PHISH
8223890,https://phishtank.org/phish_detail.php?phish_id=8223890,VALID PHISH
8223889,https://phishtank.org/phish_detail.php?phish_id=8223889,Unknown
8223888,https://phishtank.org/phish_detail.php?phish_id=8223888,VALID PHISH
8223887,https://phishtank.org/phish_detail.php?phish_id=8223887,VALID PHISH
8223886,https://phishtank.org/phish_detail.php?phish_id=8223886,VALID PHISH
8223885,https://phishtank.org/phish_detail.php?phish_id=8223885,VALID PHISH
